Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HR 8153,US,Blockchain Innovation Act,Blockchain Innovation Act,Sep 01 2020,Introduced In House,Sep 01 2020,https://openstates.org/us/bills/116/HR8153/,Darren Soto,Brett Guthrie; Doris O. Matsui,https://www.govinfo.gov/content/pkg/BILLS-116hr8153ih/pdf/BILLS-116hr8153ih.pdf,99702048b6a10e6b9f19cfcfa0ade7df6b6acfc2
S 200,MA,An Act relative to blockc...,An Act relative to blockchain and cryptocurrencies,Jan 22 2019,"Bill Reported Favorably By Committee And Referred To The Committee On Rules Of The Two Branches, Acting Concurrently",Aug 10 2020,https://openstates.org/ma/bills/191st/S200/,Cynthia Stone Creem,Cynthia Stone Creem; Tommy Vitolo; Eric P. Lesser,https://malegislature.gov/Bills/191/S200.pdf,24e251c17d70191d9ea73f38e9fd4d5dc4aa9faa
S 8887,NY,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Aug 07 2020,Referred To Rules,Aug 07 2020,https://openstates.org/ny/bills/2019-2020/S8887/,COMRIE,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S8887&term=2019&Text=Y,fb333dd592b5ac30597575ad17dc25b44e4c8bb8
S 2874,MA,Amendment S.2874,Amendment S.2874,Jul 29 2020,See H4887,Jul 29 2020,https://openstates.org/ma/bills/191st/S2874/,,Michael J. Rodrigues,https://malegislature.gov/Bills/191/S2874.pdf,7342ca72dc8ba1e738999d3c36eb8cf029f43e05
S 2842,MA,An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 27 2020,Order Relative To Subject Matter Adopted,Jul 27 2020,https://openstates.org/ma/bills/191st/S2842/,Michael J. Rodrigues,Michael J. Rodrigues,https://malegislature.gov/Bills/191/S2842.pdf,afce23a688a3bb31f16761d5d4cdcae5318f1b17
H 4854,MA,An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 15 2020,"New Draft Substituted, See H4879",Jul 24 2020,https://openstates.org/ma/bills/191st/H4854/,Joint Committee on Economic Development and Emerging Technologies,Charles D. Baker,https://malegislature.gov/Bills/191/H4854.pdf,fd8fa5d810f032ed1873c308d9214b695995289c
H 4874,MA,An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 23 2020,Rejected,Jul 24 2020,https://openstates.org/ma/bills/191st/H4874/,"House Committee on Bonding, Capital Expenditures and State Assets",Joint Committee on Economic Development and Emerging Technologies; Charles D. Baker,https://malegislature.gov/Bills/191/H4874.pdf,f404683537b178b2416690e13fa7c6d51dc8806f
HR 7753,US,Global Investment in Amer...,Global Investment in American Jobs Act of 2020,Jul 23 2020,Introduced In House,Jul 23 2020,https://openstates.org/us/bills/116/HR7753/,Cathy McMorris Rodgers,BOBBY L. RUSH; ANNA G. ESHOO; Kathleen M. Rice; Mikie Sherrill; Kendra S. Horn; Josh Gottheimer,https://www.govinfo.gov/content/pkg/BILLS-116hr7753ih/pdf/BILLS-116hr7753ih.pdf,071593ef149f515844f0ac33c9ed88c136daff66
J 3249,NY,Honoring Victoria Tiranno...,Honoring Victoria Tiranno upon the occasion of her designation as recipient of the 2020 Chancellor's Award for Student Excellence,Jul 10 2020,Adopted,Jul 22 2020,https://openstates.org/ny/bills/2019-2020/J3249/,BRESLIN,,http://assembly.state.ny.us/leg/?sh=printbill&bn=J3249&term=2019&Text=Y,773cd015096f2f787cb6df24f4482d4ca79b9c5c
H 4529,MA,An Act enabling partnersh...,An Act enabling partnerships for growth,Mar 05 2020,"Accompanied A New Draft, See H4854",Jul 15 2020,https://openstates.org/ma/bills/191st/H4529/,Charles D. Baker,,https://malegislature.gov/Bills/191/H4529.pdf,e6705238ad75cd8eb9e2d8f751dac2c5c56572dd
HB 4418,IL,Elect Cd-Blockchain Techn...,Elect Cd-Blockchain Technology,Jan 30 2020,Rule 19(B) / Re-Referred To Rules Committee,Jun 23 2020,https://openstates.org/il/bills/101st/HB4418/,John Connor,,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB4418&GA=101&SessionId=108&DocTypeId=HB&LegID=123782&DocNum=4418&GAID=15&SpecSess=&Session=&print=true,0187d0486e82f71ea9b0a1092e8b8861859de8f6
HR 249,TN,"General Assembly, Directe...","General Assembly, Directed Studies - Directs the Tennessee Department of Financial Institutions to conduct a study relative to the application of blockchain and related technology in the financial services sector and to recommend any changes to the laws and rules of this State that impact the application of those technologies in this State. -",Mar 03 2020,Taken Off Notice For Cal. In Delayed Bill Committee,Jun 01 2020,https://openstates.org/tn/bills/111/HR249/,Powers,,http://www.capitol.tn.gov/Bills/111/Bill/HR0249.pdf,d0c97d69b962d5c3589b2ee07550c9d919ad38aa
HB 20-1072,CO,Study Emerging Technologi...,Study Emerging Technologies For Water Management,Jan 08 2020,Senate Committee On Agriculture & Natural Resources Postpone Indefinitely,May 27 2020,https://openstates.org/co/bills/2020A/HB20-1072/,Jeff Bridges,,http://leg.colorado.gov/sites/default/files/2020a_hb1072_s_agr_001.pdf,c93798b4d8b403122b74d67ee5db3cb293d8189d
SB 1226,AZ,revised uniform law; nota...,revised uniform law; notarial act,Jan 23 2020,Dp,May 21 2020,https://openstates.org/az/bills/54th-2nd-regular/SB1226/,Kate Brophy McGee,Rick Gray; Vince Leach; Frank Pratt; John Kavanagh,https://www.azleg.gov/legtext/54leg/2R/proposed/S.1226UGENTI-RITA.DOCX.htm,21ff9a08bffacb00c5e999bcb33cfe64e90915fb
HR 6938,US,Advancing Blockchain Act,Advancing Blockchain Act,May 19 2020,Introduced In House,May 19 2020,https://openstates.org/us/bills/116/HR6938/,Brett Guthrie,Bill Flores; John Joyce,https://www.govinfo.gov/content/pkg/BILLS-116hr6938ih/pdf/BILLS-116hr6938ih.pdf,41c3325e97b50bfe98616cac5f0763c8d6d417cd
A 10462,NY,"Establishes the test, tru...","Establishes the test, trust, and certify act",May 18 2020,Referred To Health,May 18 2020,https://openstates.org/ny/bills/2019-2020/A10462/,Rules Committee,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A10462&term=2019&Text=Y,249a50bc61db7155d3c80d01771dba2b9645c270
HB 560,OH,Modify the law governing ...,Modify the law governing elections,Mar 23 2020,Refer To Committee,May 05 2020,https://openstates.org/oh/bills/133/HB560/,Beth Liston,"Brigid Kelly; Jessica Miranda; Juanita Brent; David Leland; Michael Sheehy; Casey Weinstein; Thomas West; Tavia Galonski; C. Russo; Janine Boyd; Jeffrey Crossman; Michael O'Brien; Lisa Sobecki; Kent Smith, K.; Erica Crawley; Mary Lightbody; Gil Blair; Randi Clites",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb560/IN/00?format=pdf,928662917b776d8c0e49c22a676c314ddc1a41ec
SB 55,KY,AN ACT relating to blockc...,AN ACT relating to blockchain technology.,Dec 11 2019,Signed By Governor (Acts Ch. 108),Apr 24 2020,https://openstates.org/ky/bills/2020RS/SB55/,,,https://apps.legislature.ky.gov/recorddocuments/bill/20RS/sb55/orig_bill.pdf,8e969c31e0b6347dcfd47ed2a107283a9b57a948
HR 6607,US,Strategic National Stockp...,Strategic National Stockpile Enhancement and Transparency Act,Apr 23 2020,Introduced In House,Apr 23 2020,https://openstates.org/us/bills/116/HR6607/,Stephen F. Lynch,Darren Soto; SHEILA JACKSON LEE; Michael F. Q. San Nicolas; Jahana Hayes,https://www.govinfo.gov/content/pkg/BILLS-116hr6607ih/pdf/BILLS-116hr6607ih.pdf,f3dd0c5e4fd341764ce589d7db51bb14bdb8cee7
HB 4621,WV,West Virginia FinTech Reg...,West Virginia FinTech Regulatory Sandbox Act,Jan 31 2020,"Chapter 35, Acts, Regular Session, 2020",Apr 15 2020,https://openstates.org/wv/bills/2020/HB4621/,Moore Capito,Daryl Cowles; Espinosa; Shott; Queen,http://www.legis.state.wv.us/legisdocs/chamber/2020/RS/com_amends/HB4621 S ECD AM _1 adopted.htm,22c0844c7ee510ee454531042424e687eebd0b88
SB 1792,OK,Financial technology; cre...,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 03 2020,"Withdrawn From Business And Commerce, Direct To Calendar",Apr 06 2020,https://openstates.org/ok/bills/2020/SB1792/,Mike Osburn,,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 ENGR/SB/SB1792 ENGR.PDF,98600c45110474705415c0aa81c616008b37e85e
SB 6065,WA,Establishing the Washingt...,Establishing the Washington blockchain work group.,Dec 11 2019,Governor Vetoed.,Apr 03 2020,https://openstates.org/wa/bills/2019-2020/SB6065/,Brown,"Bob Hasegawa; Patty Kuderer; Joe Nguyen; Christine Rolfes; Shelly Short; Wilson, L.; Mona Das; Lisa Wellman",http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/6065.htm,3468ba1f5b8f01364750be01b9dc461f74fe2627
S.B. 72,UT,Revisor's Technical Corre...,Revisor's Technical Corrections to Utah Code,Jan 24 2020,Governor Signed,Mar 30 2020,https://openstates.org/ut/bills/2020/S.B.72/,"Vickers, Evan J.","Gibson, Francis D.",https://le.utah.gov/~2020/bills/sbillenr/SB0072.pdf,54f997772c0a5faf9f23d2cb25e8951fc2f2755f
H.B. 402,UT,H.B. 402 Regulatory Waive...,H.B. 402 Regulatory Waiver Process,Feb 24 2020,Governor Signed,Mar 24 2020,https://openstates.org/ut/bills/2020/H.B.402/,"Robertson, Adam","Fillmore, Lincoln",https://le.utah.gov/~2020/bills/hbillenr/HB0402.pdf,b24f7c8545d14f4c8a8549d277d8e7720d0146e6
