Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
S 6036,New York,NY,2019 Regular Session,Relates to the study of t...,Relates to the study of the use of blockchain technology in elections,May 16 2019,Referred To Elections,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/S6036/,SAVINO,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S6036&term=2019&Text=Y,7a0ad5928e2805e31d4dd13d4acaca5cb479636d
A 1502,New York,NY,2019 Regular Session,Establishes a task force ...,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 15 2019,Referred To Economic Development,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1502/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1502&term=2019&Text=Y,3927c71780b663e70a3e0439bdc45c1abb431f71
A 2239,New York,NY,2019 Regular Session,Establishes the office of...,Establishes the office of financial resilience,Jan 22 2019,Referred To Banks,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A2239/,KIM,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2239&term=2019&Text=Y,5b7c547f298321e9c1efc50d3a71c0fdbc605fc6
A 1351,New York,NY,2019 Regular Session,Relates to the study of t...,Relates to the study of the use of blockchain technology in elections,Jan 15 2019,Referred To Election Law,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1351/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1351&term=2019&Text=Y,55f1de33c93b4a0b4a85603501461740123a28fd
A 1683,New York,NY,2019 Regular Session,Relates to allowing signa...,Relates to allowing signatures secured through blockchain technology to be considered an electronic signature,Jan 16 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1683/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1683&term=2019&Text=Y,614b926952b6bc39171221a36250a2001b4fc796
HB 4103,Michigan,MI,2019-2020 Regular Session,Crimes; credit cards; cri...,Crimes; credit cards; crimes involving credit cards; include cryptocurrency and distributed ledger technology in definition section of credit chapter in penal code. Amends sec. 157m of 1931 PA 328 (MCL 750.157m).,Jan 29 2019,Assigned Pa 175'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4103/,,Vanessa Guerra; Diana Farrington; Steve Marino; Ryan Berman; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0175.htm,3f4af86ea0cf20a399ccd0ed3a8d2d52afcbd64c
HB 4106,Michigan,MI,2019-2020 Regular Session,Crimes; forgery; crimes i...,Crimes; forgery; crimes involving forgery and counterfeiting; include altering a record by use of distributed ledger technology. Amends sec. 248 of 1931 PA 328 (MCL 750.248).,Jan 29 2019,Assigned Pa 172'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4106/,,Robert Wittenberg; Diana Farrington; Ryan Berman; Vanessa Guerra; Steve Marino; Beau LaFave,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0172.htm,961ec88f036ecc649ec9647ab8928f2d789ffee2
S 553,United States,US,116th Congress,Blockchain Promotion Act ...,Blockchain Promotion Act of 2019,Feb 26 2019,"Committee On Commerce, Science, And Transportation. Reported By Senator Wicker With Amendments. With Written Report No. 116-177.",Dec 17 2019,https://openstates.org/us/bills/116/S553/,Todd C. Young,EDWARD J. MARKEY,https://www.govinfo.gov/content/pkg/BILLS-116s553is/pdf/BILLS-116s553is.pdf,891e08c796834603909eb0e245b58d67daf216ba
HR 3407,United States,US,116th Congress,United States Export Fina...,United States Export Finance Agency Act of 2019,Jun 21 2019,"Motion To Discharge Committee Filed By Mr. Davis, Rodney. Petition No: 116-4. (<A Href=""Https://Clerk.House.Gov/Dischargepetition/20191114?Congressnum=116"">Discharge Petition</A> Text With Signatures.)",Nov 14 2019,https://openstates.org/us/bills/116/HR3407/,MAXINE WATERS,Patrick McHenry,https://www.govinfo.gov/content/pkg/BILLS-116hr3407ih/pdf/BILLS-116hr3407ih.pdf,1a9f919ed628c150c7e2bb165b37ef9ed28d799c
S 4208,New Jersey,NJ,2018-2019 Regular Session,Requires State to review ...,Requires State to review and approve digital payment platform.,Nov 14 2019,"Introduced In The Senate, Referred To Senate Commerce Committee",Nov 14 2019,https://openstates.org/nj/bills/218/S4208/,"Cryan, Joseph P.",,http://www.njleg.state.nj.us/2018/Bills/S4500/4208_I1.HTM,f5e215b463989c98f46e035e1bdc60d87bf03b09
HR 4813,United States,US,116th Congress,Keep Big Tech Out Of Fina...,Keep Big Tech Out Of Finance Act,Oct 23 2019,"Referred To The Subcommittee On Commodity Exchanges, Energy, And Credit.",Nov 13 2019,https://openstates.org/us/bills/116/HR4813/,Jesus G. Garcia,,https://www.govinfo.gov/content/pkg/BILLS-116hr4813ih/pdf/BILLS-116hr4813ih.pdf,4e45da1d5ab088a657ea5bc0f1ff9444fbe58e2c
RC 1488,Puerto Rico,PR,2017-2020 Session,Para enmendar la Sección ...,"Para enmendar la Sección 2 de la R. de la C. 542 de 10 de mayo de 2018, a los fines de extender hasta que culmine la Séptima (7ma) Sesión Ordinaria de la Decimoctava (18va) Asamblea Legislativa, el término de tiempo concedido a la Comisión de Asuntos del Consumidor, Banca y Seguros de la Cámara de Representantes de Puerto Rico, para rendir el informe final sobre la misma.",Aug 14 2019,Texto De Aprobación Final En Cámara,Oct 31 2019,https://openstates.org/pr/bills/2017-2020/RC1488/,Yashira Lebrón Rodríguez,,https://sutra.oslpr.org/osl/SUTRA/anejos/130833/rc1488ta.docx,3984034dc5d14535b3867459eddd4f4dde92da17
HR 2514,United States,US,116th Congress,COUNTER Act of 2019,COUNTER Act of 2019,May 03 2019,"Received In The Senate And Read Twice And Referred To The Committee On Banking, Housing, And Urban Affairs.",Oct 29 2019,https://openstates.org/us/bills/116/HR2514/,Emanuel Cleaver,Steve Stivers; CAROLYN B. MALONEY,https://www.govinfo.gov/content/pkg/BILLS-116hr2514ih/pdf/BILLS-116hr2514ih.pdf,c8ab79b21f36aacd009b35ca7d988d9e48a9fcd2
HR 2613,United States,US,116th Congress,Advancing Innovation to A...,Advancing Innovation to Assist Law Enforcement Act,May 09 2019,"Received In The Senate And Read Twice And Referred To The Committee On Banking, Housing, And Urban Affairs.",Sep 23 2019,https://openstates.org/us/bills/116/HR2613/,Anthony Gonzalez,Tom Emmer; Ben McAdams,https://www.govinfo.gov/content/pkg/BILLS-116hr2613ih/pdf/BILLS-116hr2613ih.pdf,c9ff683ec222abcbad3aa576b4623ad2161f9e37
HB 3575,Illinois,IL,101st Regular Session,Blockchain Technology Act,Blockchain Technology Act,Feb 15 2019,Public Act . . . . . . . . . 101-0514,Aug 23 2019,https://openstates.org/il/bills/101st/HB3575/,"Elgie R. Sims, Jr.","Michael J. Zalewski; Jaime M. Andrade, Jr.; Dan McConchie; David Koehler",http://ilga.gov/legislation/fulltext.asp?DocName=10100HB3575enr&GA=101&SessionId=108&DocTypeId=HB&LegID=120249&DocNum=3575&GAID=15&SpecSess=&Session=&print=true,c8cfa92f209fefc971f57274971bb34403ddb5aa
HB 2540,Illinois,IL,101st Regular Session,Blockchain Bus Developmen...,Blockchain Bus Development Act,Feb 13 2019,Public Act . . . . . . . . . 101-0259,Aug 09 2019,https://openstates.org/il/bills/101st/HB2540/,Thomas Cullerton,"Curtis J. Tarver, II; Justin Slaughter; Mary E. Flowers; Andrew S. Chesney; Diane Pappas; Delia C. Ramirez; Anne Stava-Murray; Emanuel Chris Welch; André Thapedi; Dan McConchie; Emil Jones, III; Elgie R. Sims, Jr.; Toi W. Hutchinson",http://ilga.gov/legislation/fulltext.asp?DocName=10100HB2540enr&GA=101&SessionId=108&DocTypeId=HB&LegID=118645&DocNum=2540&GAID=15&SpecSess=&Session=&print=true,65536f55d81ddbf4625bd25348291c62683161c0
S 2297,New Jersey,NJ,2018-2019 Regular Session,Establishes NJ Blockchain...,Establishes NJ Blockchain Initiative Task Force.,Mar 13 2018,"Approved P.L.2019, C.213.",Aug 08 2019,https://openstates.org/nj/bills/218/S2297/,"Zwicker, Andrew","Johnson, Gordon M.; Conaway, Herb",http://www.njleg.state.nj.us/2018/Bills/S2500/2297_I2.HTM,3b3ed00bac5db55cefe33503ad5c21accb76138f
SB 753,Rhode Island,RI,2019 Regular Session,AN ACT RELATING TO FINANC...,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES--CURRENCY TRANSMISSIONS (Adds virtual currency to the existing electronic money transmission and sale of check licenses and adds additional regulatory provisions to simplify and clarify licensing related thereto.),Apr 04 2019,07/15/2019 Signed By Governor,Jul 15 2019,https://openstates.org/ri/bills/2019/SB753/,Louis P. DiPalma,,http://webserver.rilin.state.ri.us/BillText/BillText19/SenateText19/S0753Aaa.pdf,3094971c84ec54029822685c4c4cc35974c0472f
HB 5847,Rhode Island,RI,2019 Regular Session,AN ACT RELATING TO FINANC...,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES--CURRENCY TRANSMISSIONS (Adds virtual currency to the existing electronic money transmission and sale of check licenses and adds additional regulatory provisions to simplify and clarify licensing related thereto.),Mar 14 2019,07/15/2019 Signed By Governor,Jul 15 2019,https://openstates.org/ri/bills/2019/HB5847/,Christopher R. Blazejewski,,http://webserver.rilin.state.ri.us/BillText/BillText19/HouseText19/H5847A.pdf,56d10510e9d656b9d6f478fb38fbb757bc879f33
PC 1635,Puerto Rico,PR,2017-2020 Session,"Para adoptar el ""Código d...","Para adoptar el ""Código de Incentivos de Puerto Rico""; consolidar las decenas de decretos, incentivos, subsidios, estímulos monetarios, reembolsos, o beneficios contributivos o financieros existentes; promover el ambiente, las oportunidades y las herramientas adecuadas para fomentar el desarrollo económico sostenible de Puerto Rico; establecer el marco legal y administrativo que regirá la solicitud, evaluación, concesión o denegación de incentivos por parte del Gobierno de Puerto Rico; fomentar la medición eficaz y continua de los costos y beneficios de los incentivos que se otorguen para maximizar el impacto de la inversión de fondos públicos; dar estabilidad, certeza y credibilidad al Gobierno de Puerto Rico en todo lo relacionado a la inversión privada; mejorar la competitividad económica de Puerto Rico, añadir una nueva Sección 5 a la Ley Núm. 135 de 9 de mayo de 1945, según enmendada, conocida como la ""Exención Contributiva a Porteadores Públicos de Servicios de Transporte Aéreo""; enmendar el Artículo 8 de la Ley Núm. 7 de 4 de marzo de 1955, según enmendada, conocida como la ""Exención Contributiva de Zonas Históricas""; derogar el Artículo 61.240 de la Ley Núm. 77 de 19 de junio de 1957, según enmendada, conocida como Código de Seguros de Puerto Rico; enmendar el Artículo 6 de la Ley Núm. 72 de 21 de junio de 1962, según enmendada, conocida como la ""Exención de Contribuciones a la Corporación Industria Lechera de Puerto Rico, Inc.""; enmendar el Artículo 9 de la Ley Núm. 126 de 28 de junio de 1966, según enmendada, conocida como la ""Ley de Transportación de Carga por Mar""; derogar la Ley Núm. 42 de 19 de junio de 1971, según enmendada, conocida como la ""Ley del Bono Anual a los Trabajadores Agrícolas""; enmendar la Sección 8 de la Ley Núm. 54 de 21 de junio de 1971, según enmendada, mejor conocida como la ""Exención Contributiva a la Producción Comercial de Flores y Plantas Ornamentales""; enmendar el Artículo 12 de la Ley Núm. 47 de 26 de junio de 1987, según enmendada, conocida como la ""Ley de Coparticipación del Sector Público y Privado para la Nueva Operación de Vivienda""; derogar la Ley Núm. 46 de 5 de agosto de 1989, según enmendada, conocida como la ""Ley Para Establecer el Programa de Subsidio Salarial a los Agricultores Elegibles""; derogar la Ley 225-1995, según enmendada, conocida como ""Ley de Incentivos Contributivos Agrícolas de Puerto Rico""; enmendar el Artículo 8 de la Ley 165-1996, según enmendada, conocida como el ""Programa de Alquiler de Vivienda para Personas de Edad Avanzada con Ingresos Bajos""; añadir un nuevo Artículo 7 a la Ley 213-2000, según enmendada, mejor conocida como la ""Vivienda de Interés Social para Personas con Impedimentos o de Edad Avanzada""; enmendar el Artículo 25 de la Ley 183-2001, según enmendada, conocida como la ""Ley de Servidumbre de Conservación de Puerto Rico""; enmendar el Artículo 2.3 de la Ley 140-2001, según enmendada, conocida como la ""Ley de Créditos Contributivos por Inversión en la Construcción o Rehabilitación de Vivienda para Alquiler a Familias de Ingresos Bajos o Moderados y de Créditos Contributivos por Inversión en la Adquisición, Construcción o Rehabilitación de Vivienda Asequible para Alquilar a las Personas de Edad Avanzada""; añadir un nuevo Artículo 23 a la Ley 244-2003, según enmendada, conocida como la ""Ley para la Creación de Proyectos de Vivienda de ""Vida Asistida"" para Personas de Edad Avanzada en Puerto Rico""; derogar la Ley 325-2004, según enmendada, conocida como ""Ley para el Desarrollo de Energía Renovable""; derogar la Ley 464-2004, según enmendada, conocida como ""Ley del Programa JUVEMPLEO""; derogar la Ley 26-2008, según enmendada conocida como ""Ley del Programa para el Financiamiento de la Investigación y el Desarrollo de Tecnología Agrícola y de Alimentos""; enmendar la Sección 20 de la Ley 73-2008, según enmendada, conocida como la ""Ley de Incentivos Económicos para el Desarrollo de Puerto Rico""; enmendar la Sección 15 de la Ley 74-2010, según enmendada, conocida como la ""Ley de Desarrollo Turístico de Puerto Rico de 2010""; enmendar el Artículo 3.6 de la Ley 83-2010, según enmendada, conocida como la ""Ley de Incentivos de Energía Verde de Puerto Rico""; enmendar el Artículo 19 de la Ley 118-2010, según enmendada, conocida como la ""Ley de Incentivos para el Desarrollo Económico y Turístico Municipal""; derogar la Ley 159-2011, según enmendada, conocida como ""Ley de Incentivos Contributivos para la Inversión en Facilidades de Reducción Disposición y/o Tratamientos de Desperdicios Sólidos""; enmendar el Artículo 20 de la Ley 20-2012, según enmendada, conocida como la ""Ley para Fomentar la Exportación de Servicios"";...",May 29 2018,Ley Núm. 60-2019,Jul 01 2019,https://openstates.org/pr/bills/2017-2020/PC1635/,Miembros del PNP,,https://sutra.oslpr.org/osl/SUTRA/anejos/127859/ley-60-01-Jul-2019.doc,783a54ec2cffc8c139300b570e55649b1beb8865
SB 703,Oregon,OR,2019 Regular Session,Relating to the sale of h...,Relating to the sale of health information; declaring an emergency.,Jan 29 2019,In Committee Upon Adjournment.,Jul 01 2019,https://openstates.org/or/bills/2019 Regular Session/SB703/,Paul Holvey,Shemia Fagan; Lee Beyer; Brian Boquist; Michael Dembrow; Jeff Golden; Tim Knopp; Lew Frederick; Laurie Monnes Anderson; Chuck Riley; Arnie Roblan; Kim Thatcher; Rob Wagner; Teresa Alonso Leon; Paul Evans; Gary Leif; John Lively; Mark Meek; Ron Noble; Rob Nosse; Carla Piluso; Karin Power; Rachel Prusak; Jeff Reardon; Tawna Sanchez; Sheri Schouten; Janeen Sollman; Duane Stark; Marty Wilde; Carl Wilson; Brad Witt; Sen Winters; Dennis Linthicum,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/SB703/A-Engrossed,0125e53b2f57d58cdd58d31d7b8cdadc7b43807c
HB 2179,Oregon,OR,2019 Regular Session,Relating to blockchain te...,Relating to blockchain technology; prescribing an effective date.,Jan 14 2019,In Committee Upon Adjournment.,Jul 01 2019,https://openstates.org/or/bills/2019 Regular Session/HB2179/,,,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2179/A-Engrossed,9614ff37992b2b67cbe88a93eaa63fc49b16e3be
HB 1393,Florida,FL,2019 Regular Session,Department of Financial S...,Department of Financial Services,Mar 05 2019,"Chapter No. 2019-140, Companion Bill(S) Passed, See Cs/Cs/Sb 1024 (Ch. 2019-52)",Jun 26 2019,https://openstates.org/fl/bills/2019/HB1393/,Clemons,,http://flsenate.gov/Session/Bill/2019/1393/BillText/Filed/PDF,1aeba0e694ed38e58b4392d9203690e6dde7d901
SB 90,Delaware,DE,150th General Assembly (2019-2020),An Act To Amend Chapter 1...,"An Act To Amend Chapter 15, Title 6 Of The Delaware Code Relating To The Creation, Regulation, Operation And Dissolution Of Domestic Partnerships And The Registration And Regulation Of Foreign Limited Liability Partnerships.",May 09 2019,Signed By Governor,Jun 19 2019,https://openstates.org/de/bills/150/SB90/,Sean M. Lynn,Bruce C. Ennis; John L. Mitchell; Stephen Smyk; Jeffrey N. Spiegelman,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=47448&legislationTypeId=1&docTypeId=2&legislationName=SB90,62f48e9474d0d37a7dd0c28764d86b652c03b170
AB 533,Nevada,NV,2019 Regular Session,Revises provisions relati...,Revises provisions relating to cannabis. (BDR 60-1217),May 14 2019,Chapter 595.,Jun 13 2019,https://openstates.org/nv/bills/80/AB533/,Assembly Committee on Judiciary,,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB533.pdf,8f35bbe0383773f0d6e967feb10e1d96ba5e4447
SB 164,Nevada,NV,2019 Regular Session,Recognizes certain virtua...,Recognizes certain virtual currencies as a form of intangible personal property for purposes of taxation. (BDR 32-878),Feb 14 2019,Chapter 476.,Jun 10 2019,https://openstates.org/nv/bills/80/SB164/,Senator Ben Kieckhefer,,https://www.leg.state.nv.us/Session/80th2019/Bills/SB/SB164.pdf,4b24f9670c27eb42e49b1a16ad0d0991d1ebc331
SB 162,Nevada,NV,2019 Regular Session,Revises provisions relati...,Revises provisions relating to electronic transactions. (BDR 59-876),Feb 14 2019,Chapter 474.,Jun 10 2019,https://openstates.org/nv/bills/80/SB162/,Senator Ben Kieckhefer,,https://www.leg.state.nv.us/Session/80th2019/Bills/SB/SB162.pdf,bd197e23dc753c4719f4ec9a499892bbec130042
SB 163,Nevada,NV,2019 Regular Session,Revises provisions relati...,Revises provisions relating to technology used by certain business entities. (BDR 7-877),Feb 14 2019,Chapter 475.,Jun 10 2019,https://openstates.org/nv/bills/80/SB163/,Senator Ben Kieckhefer,,https://www.leg.state.nv.us/Session/80th2019/Bills/SB/SB163.pdf,ea68f396158603422c2e43309d46ac263c3a0954
